Empresa Aérea;N Voo;Aeroporto de Origem Designador OACI;Nome/UF/Pai�s Origem;Aeroporto de Destino Designador OACI;Nome/UF/Pai�s Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;15;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);MMMX;BENITO JUAREZ INTL(, MÉXICO);30;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8047;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8118;SBEG;EDUARDO GOMES(AM, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8501;SBAR;SANTA MARIA(SE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);13;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8502;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);12;0;16,67;8,33
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8503;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);6;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8506;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);8;12,5;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8507;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);28;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8509;SBCY;MARECHAL RONDON(MT, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8511;SBCG;CAMPO GRANDE(MS, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8515;SBCF;TANCREDO NEVES(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);23;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8516;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);8;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8517;SBCT;AFONSO PENA(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8518;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);3;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8519;SBFL;HERCÍLIO LUZ(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);28;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8520;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);21;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8521;SBFZ;PINTO MARTINS(CE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);27;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8523;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);13;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8525;SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);28;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8526;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFI;CATARATAS(PR, BRASIL);22;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8527;SBFI;CATARATAS(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);22;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8529;SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);25;4;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8533;SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);28;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8536;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBLO;GOVERNADOR JOSÉ RICHA(PR, BRASIL);13;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8539;SBEG;EDUARDO GOMES(AM, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8541;SBMO;ZUMBI DOS PALMARES(AL, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);27;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8542;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBMG;SÍLVIO NAME JÚNIOR(PR, BRASIL);13;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8545;SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);28;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8546;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);30;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8549;SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);14;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8550;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);7;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8551;SBPA;SALGADO FILHO(RS, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);24;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8552;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);21;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8554;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);27;0;3,7;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8556;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);8;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8557;SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);16;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8558;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);28;0;3,57;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8559;SBRJ;SANTOS DUMONT(RJ, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);27;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8560;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);4;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8563;SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);11;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8564;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);11;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8565;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);15;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8567;SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);18;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8568;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);7;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8573;SBFZ;PINTO MARTINS(CE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);4;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8574;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCG;CAMPO GRANDE(MS, BRASIL);6;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8575;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);1;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8575;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);3;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8578;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);18;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8581;SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8582;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);12;0;0;0
AMX - AEROVÍAS DE MÉXICO S.A DE C.V - AEROMÉXICO;8584;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFI;CATARATAS(PR, BRASIL);18;0;0;0
ANA - ALL NIPPON AIRWAYS;5895;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);EDDF;FRANKFURT INTERNATIONAL AIRPORT(, ALEMANHA);30;0;3,33;3,33
ANA - ALL NIPPON AIRWAYS;5896;EDDF;FRANKFURT INTERNATIONAL AIRPORT(, ALEMANHA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;20;0
ANA - ALL NIPPON AIRWAYS;7210;KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);17;0;5,88;5,88
ANA - ALL NIPPON AIRWAYS;7211;SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);17;5,88;0;0
ANA - ALL NIPPON AIRWAYS;7212;KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;3,33;6,9;3,45
ANA - ALL NIPPON AIRWAYS;7213;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);30;3,33;0;0
ANA - ALL NIPPON AIRWAYS;7214;KEWR;NEWARK LIBERTY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;3,33;3,33
ANZ - AIR NEW ZEALAND LIMITED;3010;SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
