Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SBCY;MARECHAL RONDON(MT, BRASIL);SBBW;BARRA DO GARÇAS(MT, BRASIL);14;0;7,14;7,14
SBCY;MARECHAL RONDON(MT, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);26;0;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);124;0;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);85;0;3,53;3,53
SBCY;MARECHAL RONDON(MT, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);30;0;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SBSI;PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL);22;4,55;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SBSP;CONGONHAS(SP, BRASIL);6;0;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SWHP;OLHOS D´ÁGUA(MT, BRASIL);13;0;7,69;0
SBCY;MARECHAL RONDON(MT, BRASIL);SWJN;JUÍNA(MT, BRASIL);5;0;0;0
SBCY;MARECHAL RONDON(MT, BRASIL);SWTS;TANGARÁ DA SERRA(MT, BRASIL);10;10;0;0
SBCZ;CRUZEIRO DO SUL(AC, BRASIL);SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);17;0;0;0
SBDB;BONITO(MS, BRASIL);SBCR;CORUMBÁ(MS, BRASIL);11;9,09;10;0
SBDN;PRESIDENTE PRUDENTE(SP, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);8;0;0;0
SBDN;PRESIDENTE PRUDENTE(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);57;0;0;0
SBDO;DOURADOS(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);25;0;4;4
SBEG;EDUARDO GOMES(AM, BRASIL);KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);12;41,67;0;0
SBEG;EDUARDO GOMES(AM, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);46;0;4,35;0
SBEG;EDUARDO GOMES(AM, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);45;0;2,22;0
SBEG;EDUARDO GOMES(AM, BRASIL);SBBV;ATLAS BRASIL CANTANHEDE(RR, BRASIL);30;0;6,67;6,67
SBEG;EDUARDO GOMES(AM, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);1;0;0;0
SBEG;EDUARDO GOMES(AM, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);34;0;0;0
SBEG;EDUARDO GOMES(AM, BRASIL);SBIH;ITAITUBA(PA, BRASIL);15;40;100;88,89
SBEG;EDUARDO GOMES(AM, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);63;1,59;1,61;1,61
SBEG;EDUARDO GOMES(AM, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);26;0;7,69;7,69
SBEG;EDUARDO GOMES(AM, BRASIL);SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);14;21,43;18,18;9,09
SBEG;EDUARDO GOMES(AM, BRASIL);SBTF;TEFÉ(AM, BRASIL);27;11,11;8,33;4,17
SBEG;EDUARDO GOMES(AM, BRASIL);SBTT;TABATINGA(AM, BRASIL);21;9,52;5,26;0
SBEG;EDUARDO GOMES(AM, BRASIL);SBUA;SÃO GABRIEL DA CACHOEIRA(AM, BRASIL);14;28,57;40;20
SBEG;EDUARDO GOMES(AM, BRASIL);SWCA;CARAUARI(AM, BRASIL);12;16,67;30;30
SBEG;EDUARDO GOMES(AM, BRASIL);SWEI;EIRUNEPÉ(AM, BRASIL);4;0;0;0
SBEG;EDUARDO GOMES(AM, BRASIL);SWKO;COARI(AM, BRASIL);5;40;33,33;0
SBEG;EDUARDO GOMES(AM, BRASIL);SWPI;JÚLIO BÉLEM(AM, BRASIL);23;26,09;23,53;11,76
SBFI;CATARATAS(PR, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);28;0;0;0
SBFI;CATARATAS(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);98;1,02;0;0
SBFI;CATARATAS(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;10;3,33
SBFI;CATARATAS(PR, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);1;0;100;0
SBFI;CATARATAS(PR, BRASIL);SBSP;CONGONHAS(SP, BRASIL);1;0;0;0
SBFI;CATARATAS(PR, BRASIL);SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(, CHILE);9;100;0;0
SBFL;HERCÍLIO LUZ(SC, BRASIL);SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);2;100;0;0
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);21;0;4,76;4,76
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);1;0;0;0
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);156;1,92;1,31;1,31
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);112;0;0,89;0
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);1;0;0;0
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);16;0;0;0
SBFL;HERCÍLIO LUZ(SC, BRASIL);SBSP;CONGONHAS(SP, BRASIL);31;0;0;0
SBFN;FERNANDO DE NORONHA(PE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);63;1,59;4,84;1,61
SBFZ;PINTO MARTINS(CE, BRASIL);LPPT;LISBOA(, PORTUGAL);7;14,29;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);46;2,17;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);70;10;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);4;0;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);28;7,14;3,85;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);145;2,76;4,26;1,42
SBFZ;PINTO MARTINS(CE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);31;0;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);127;0,79;3,17;0,79
SBFZ;PINTO MARTINS(CE, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);14;0;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBSP;CONGONHAS(SP, BRASIL);3;0;0;0
SBFZ;PINTO MARTINS(CE, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);15;13,33;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);EHAM;AMSTERDAM AIRPORT SCHIPHOL(, HOLANDA);21;4,76;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);22;4,55;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);31;6,45;3,45;3,45
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);LFPG;PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(, FRANÇA);11;0;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);LPPR;PORTO(, PORTUGAL);2;0;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);LPPT;LISBOA(, PORTUGAL);10;30;14,29;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);LSZH;ZÜRICH AIRPORT (KLOTEN AIRPORT)(, SUÍÇA);9;100;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);MPTO;TOCUMEN INTL(, PANAMÁ);20;40;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);10;90;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);12;25;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);23;0;4,35;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);27;7,41;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);105;7,62;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);13;0;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);77;2,6;1,33;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);12;16,67;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);22;4,55;4,76;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);9;11,11;0;0
SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);21;0;9,52;4,76
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);31;9,68;3,57;0
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBBW;BARRA DO GARÇAS(MT, BRASIL);2;0;0;0
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);60;0;3,33;1,67
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);81;4,94;0;0
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBJD;AEROPORTO ESTADUAL DE JUNDIAÍ(SP, BRASIL);2;50;0;0
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);111;0;0,9;0
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);13;0;0;0
SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);SBSP;CONGONHAS(SP, BRASIL);8;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);EDDF;FRANKFURT INTERNATIONAL AIRPORT(, ALEMANHA);48;0;2,08;2,08
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);EHAM;AMSTERDAM AIRPORT SCHIPHOL(, HOLANDA);30;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);HAAB;BOLE INTERNATIONAL AIRPORT(, ETIÓPIA);29;37,93;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KATL;HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);30;3,33;6,9;3,45
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);30;3,33;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KEWR;NEWARK LIBERTY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);30;0;3,33;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KIAH;GEORGE BUSH INTERCONTINENTAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);30;3,33;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KJFK;JOHN F. KENNEDY INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);60;3,33;3,45;1,72
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KMIA;MIAMI INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);43;2,33;2,38;2,38
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);KORD;O´HARE INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);8;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LEMD;ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(, ESPANHA);37;2,7;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LFPG;PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(, FRANÇA);24;8,33;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LPPT;LISBOA(, PORTUGAL);20;15;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LSZH;ZÜRICH AIRPORT (KLOTEN AIRPORT)(, SUÍÇA);21;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);LTFM;ISTANBUL AIRPORT(, TURQUIA);13;0;7,69;7,69
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);MMMX;BENITO JUAREZ INTL(, MÉXICO);43;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);MPTO;TOCUMEN INTL(, PANAMÁ);50;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);OMDB;DUBAI(, EMIRADOS ÁRABES UNIDOS);22;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);OTHH;HAMAD INTERNATIONAL AIRPORT(, QATAR);43;2,33;7,14;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);5;60;50;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SAEZ;MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(, ARGENTINA);39;61,54;20;13,33
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);39;2,56;2,63;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBAU;ESTADUAL DARIO GUARITA(SP, BRASIL);5;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);17;0;11,76;5,88
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);164;2,44;0,63;0,63
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCA;ADALBERTO MENDES DA SILVA(PR, BRASIL);9;0;11,11;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);211;0,47;0,95;0,48
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCG;CAMPO GRANDE(MS, BRASIL);74;4,05;1,41;1,41
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);22;13,64;5,26;5,26
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);144;2,78;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);127;0;1,57;0,79
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBDN;PRESIDENTE PRUDENTE(SP, BRASIL);6;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);33;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFI;CATARATAS(PR, BRASIL);97;1,03;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);148;1,35;0,68;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);142;2,11;1,44;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);106;7,55;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);76;5,26;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);48;4,17;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);24;4,17;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);54;1,85;3,77;3,77
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);14;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);7;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBLO;GOVERNADOR JOSÉ RICHA(PR, BRASIL);32;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBMG;SÍLVIO NAME JÚNIOR(PR, BRASIL);27;0;3,7;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBMK;MÁRIO RIBEIRO(MG, BRASIL);1;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);116;0,86;0,87;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);93;1,08;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);243;0,82;1,66;1,24
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);27;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPL;SENADOR NILO COELHO(PE, BRASIL);12;0;8,33;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);91;2,2;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);21;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);27;0;3,7;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);292;1,37;1,39;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);187;1,07;1,08;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);1;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);118;0;0,85;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);22;0;4,55;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);15;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);151;3,31;2,05;0,68
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);17;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);30;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);22;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);102;0;0,98;0,98
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);2;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(, CHILE);16;6,25;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SGAS;SILVIO PETTIROSSI INTERNATIONAL AIRPORT(, PARAGUAI);14;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SKBO;EL DORADO INTERNATIONAL AIRPORT(, COLÔMBIA);1;0;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SLVR;VIRU VIRU INTERNATIONAL AIRPORT(, BOLÍVIA);21;9,52;78,95;5,26
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SPJC;JORGE CHÁVEZ INTERNATIONAL AIRPORT(, PERU);3;100;0;0
SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);SUMU;CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(, URUGUAI);10;0;0;0
SBGV;CORONEL ALTINO MACHADO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;3,33;3,45;3,45
SBHT;ALTAMIRA(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);19;0;0;0
SBIH;ITAITUBA(PA, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);15;33,33;10;10
SBIH;ITAITUBA(PA, BRASIL);SWPI;JÚLIO BÉLEM(AM, BRASIL);7;42,86;25;25
SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;0;6,67;6,67
SBIL;BAHIA - JORGE AMADO(BA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);48;2,08;2,13;2,13
