Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
LTFM;ISTANBUL AIRPORT(, TURQUIA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);13;0;92,31;30,77
MMMX;BENITO JUAREZ INTL(, MÉXICO);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);43;0;6,98;0
MPTO;TOCUMEN INTL(, PANAMÁ);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);17;41,18;0;0
MPTO;TOCUMEN INTL(, PANAMÁ);SBCF;TANCREDO NEVES(MG, BRASIL);13;69,23;0;0
MPTO;TOCUMEN INTL(, PANAMÁ);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);20;35;0;0
MPTO;TOCUMEN INTL(, PANAMÁ);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);55;10,91;0;0
MPTO;TOCUMEN INTL(, PANAMÁ);SBPA;SALGADO FILHO(RS, BRASIL);15;13,33;0;0
OMDB;DUBAI(, EMIRADOS ÁRABES UNIDOS);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);22;0;0;0
OTHH;HAMAD INTERNATIONAL AIRPORT(, QATAR);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);43;0;72,09;6,98
SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);SBFL;HERCÍLIO LUZ(SC, BRASIL);2;100;0;0
SABE;JORGE NEWBERY AIRPORT(, ARGENTINA);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);9;88,89;0;0
